July,EIZO Cup #6,"€ 1,750",16
July,Bigpoint Battle #6,"€ 2,000",16
June,EIZO Cup #5,"€ 1,750",16
June,Bigpoint Battle #5,"€ 2,000",16
May,GEST Season 1 May,"$1,500 ",16
May,EIZO Cup #4,"€ 1,750",16
May,Bigpoint Battle #4,"€ 2,000",16
May,EIZO Cup #3,"€ 1,750",16
April,GEST Season 1 April,"$1,500 ",16
April,Bigpoint Battle #3,"€ 2,000",16
March,GEST Season 1 March,"$1,500 ",16
March,EIZO Cup #2,"€ 1,750",16
March,Bigpoint Battle #2,"€ 2,000",16
March,GEST Season 1 February,"$1,500 ",16
February,EIZO Cup #1,"€ 1,750",16
February,Bigpoint Battle #1,"€ 2,000",16
July,SK Trophy #2,"$1,000 ",8
June,DotaCinema Rosh Pit,"$1,000 ",8
April,Netolic Pro League 2 (West),"$1,000 ",16
April,Netolic Pro League 2 (East),"$1,000 ",16
April,atoD Showdown 3,"$1,500 ",12
April,joinDOTA Open VI,"$1,000 ",344
April,joinDOTA Masters XIII,"$1,500 ",8
March,SK Trophy #1,"$1,000 ",8
March,Sino-net Dota 2 tournament,"$1,100 ",19
February,SEA League,"$1,500 ",16
July,AMD Premier League Season 2,"$5,000 ",16
July,Nexon Starter League,"$20,500 ",8
June,Corsair Gaming Summer Dota 2 Tournament 2013,"$10,000 ",16
May,American Dota League,"$10,000 ",10
May,AMD Premier League Season 1,"$5,000 ",20
May,Curse Dota 2 Invitational,"$10,000 ",8
March,2013 Techlabs Cup March,"$10,000 ",4
March,Ritmix Russian DOTA 2 League,"$6,000 ",8
March,WePlay Dota2 League Season 1,"$8,700 ",32
March,DreamHack 2013 Invitational,"$6,000 ",8
August,The International 3,"$2,600,000 ",16
July,eSports Champions League,"¥130,000",12
June,RaidCall EMS One Summer Season,"$35,000 ",12
June,Alienware Cup,"$60,000 ",10
June,DreamHack Summer 2013,"300,000 SEK",16
May,The Defense Season 4,"$25,000 ",20
May,RaidCall Dota 2 League Season 3,"$10,000 ",8
May,The Premier League Season 5,"$15,500 ",8
May,Star Ladder Star Series Season 6,"$22,500 ",16
May,Dota 2 Super League,"¥ 1,000,000",10
March,RaidCall EMS One Spring Season,"$35,000 ",16
March,G-1 Champions League Season 5,"¥ 400,000",6
February,Star Ladder Star Series Season 5,"$15,000 ",16
February,The Premier League Season 4,"$10,000 ",10
July,EIZO Cup #6,"€ 1,750",16
July,Bigpoint Battle #6,"€ 2,000",16
June,EIZO Cup #5,"€ 1,750",16
June,Bigpoint Battle #5,"€ 2,000",16
May,GEST Season 1 May,"$1,500 ",16
May,EIZO Cup #4,"€ 1,750",16
May,Bigpoint Battle #4,"€ 2,000",16
May,EIZO Cup #3,"€ 1,750",16
April,GEST Season 1 April,"$1,500 ",16
April,Bigpoint Battle #3,"€ 2,000",16
March,GEST Season 1 March,"$1,500 ",16
March,EIZO Cup #2,"€ 1,750",16
March,Bigpoint Battle #2,"€ 2,000",16
March,GEST Season 1 February,"$1,500 ",16
February,EIZO Cup #1,"€ 1,750",16
February,Bigpoint Battle #1,"€ 2,000",16
