Dota 2,May,2013,AMD Premier League Season 1,5000,USD,20,
Dota 2,May,2013,Curse Dota 2 Invitational,10000,USD,8,
Dota 2,March,2013,2013 Techlabs Cup March,10000,USD,4,
Dota 2,March,2013,Ritmix Russian DOTA 2 League,6000,USD,8,
Dota 2,March,2013,WePlay Dota2 League Season 1,8700,USD,32,
Dota 2,March,2013,DreamHack 2013 Invitational,6000,USD,8,
Dota 2,August,2013,The International 3,2600000,USD,16,
Dota 2,July,2013,eSports Champions League,130000,CNY,12,
Dota 2,June,2013,RaidCall EMS One Summer Season,35000,USD,12,
Dota 2,June,2013,Alienware Cup,60000,USD,10,
Dota 2,June,2013,DreamHack Summer 2013,300000,SEK,16,
Dota 2,May,2013,The Defense Season 4,25000,USD,20,
Dota 2,May,2013,RaidCall Dota 2 League Season 3,10000,USD,8,
Dota 2,May,2013,The Premier League Season 5,15500,USD,8,
Dota 2,May,2013,Star Ladder Star Series Season 6,22500,USD,16,
Dota 2,May,2013,Dota 2 Super League,1000000,CNY,10,
Dota 2,March,2013,RaidCall EMS One Spring Season,35000,USD,16,
Dota 2,March,2013,G-1 Champions League Season 5,400000,CNY,6,
Dota 2,February,2013,Star Ladder Star Series Season 5,15000,USD,16,
Dota 2,February,2013,The Premier League Season 4,10000,USD,10,
Dota 2,July,2013,EIZO Cup #6,1750,EUR,16,
Dota 2,July,2013,Bigpoint Battle #6,2000,EUR,16,
Dota 2,June,2013,EIZO Cup #5,1750,EUR,16,
Dota 2,June,2013,Bigpoint Battle #5,2000,EUR,16,
Dota 2,May,2013,GEST Season 1 May,1500,USD,16,
Dota 2,May,2013,EIZO Cup #4,1750,EUR,16,
Dota 2,May,2013,Bigpoint Battle #4,2000,EUR,16,
Dota 2,May,2013,EIZO Cup #3,1750,EUR,16,
Dota 2,April,2013,GEST Season 1 April,1500,USD,16,
Dota 2,April,2013,Bigpoint Battle #3,2000,EUR,16,
Dota 2,March,2013,GEST Season 1 March,1500,USD,16,
Dota 2,March,2013,EIZO Cup #2,1750,EUR,16,
Dota 2,March,2013,Bigpoint Battle #2,2000,EUR,16,
Dota 2,March,2013,GEST Season 1 February,1500,USD,16,
Dota 2,February,2013,EIZO Cup #1,1750,EUR,16,
Dota 2,February,2013,Bigpoint Battle #1,2000,EUR,16,
StarCraft II: Heart of the Swarm,August,2013,1st Hong Kong eSports Tournament,13000,USD,8,
StarCraft II: Heart of the Swarm,July,2013,Red Bull Training Grounds 2,10000,USD,8,
StarCraft II: Heart of the Swarm,June,2013,EPS Germany Summer 2013,12400,USD,12,
StarCraft II: Heart of the Swarm,June,2013,Red Bull Training Grounds,8600,USD,8,
